0.0,152
13.0,3
15.0,1
16.0,29
17.0,24
18.0,6
19.0,20
20.0,66
21.0,218
22.0,113
23.0,48
24.0,54
25.0,36
26.0,31
27.0,57
28.0,132
29.0,235
30.0,200
31.0,300
32.0,490
33.0,323
34.0,296
35.0,252
36.0,398
37.0,402
38.0,333
39.0,263
40.0,281
41.0,350
42.0,441
43.0,558
44.0,615
45.0,654
46.0,846
47.0,1106
48.0,1121
49.0,1066
50.0,1114
51.0,1300
52.0,1475
53.0,1655
54.0,1921
55.0,2408
56.0,2647
57.0,2965
58.0,3619
59.0,3305
60.0,2999
61.0,2898
62.0,2728
63.0,2509
64.0,2319
65.0,2374
66.0,2112
67.0,1849
68.0,1771
69.0,1500
70.0,1273
71.0,1076
72.0,886
73.0,832
74.0,715
75.0,560
76.0,467
77.0,377
78.0,333
79.0,257
80.0,179
81.0,156
82.0,105
83.0,70
84.0,59
85.0,40
86.0,35
87.0,19
88.0,14
89.0,20
90.0,9
91.0,10
92.0,3
93.0,12
94.0,13
95.0,5
96.0,1
97.0,1
98.0,2
100.0,1
