0.0,3
3.0,16
4.0,29
5.0,12
6.0,5
7.0,20
8.0,64
9.0,191
10.0,110
11.0,46
12.0,56
13.0,41
14.0,29
15.0,27
16.0,47
17.0,100
18.0,159
19.0,218
20.0,190
21.0,330
22.0,417
23.0,252
24.0,255
25.0,214
26.0,306
27.0,377
28.0,324
29.0,248
30.0,243
31.0,269
32.0,347
33.0,369
34.0,468
35.0,508
36.0,580
37.0,612
38.0,752
39.0,967
40.0,1054
41.0,970
42.0,953
43.0,1093
44.0,1136
45.0,1321
46.0,1446
47.0,1649
48.0,2018
49.0,2122
50.0,2393
51.0,2603
52.0,3238
53.0,2767
54.0,2598
55.0,2427
56.0,2407
57.0,2223
58.0,2110
59.0,2033
60.0,1985
61.0,1796
62.0,1637
63.0,1540
64.0,1336
65.0,1275
66.0,1029
67.0,895
68.0,786
69.0,720
70.0,644
71.0,514
72.0,449
73.0,371
74.0,327
75.0,279
76.0,230
77.0,168
78.0,137
79.0,114
80.0,81
81.0,51
82.0,52
83.0,33
84.0,32
85.0,21
86.0,16
87.0,14
88.0,13
89.0,10
90.0,9
91.0,4
92.0,11
93.0,14
94.0,5
95.0,2
96.0,1
97.0,3
100.0,1
