0.0,189
16.0,1
17.0,2
18.0,3
20.0,1
21.0,6
22.0,6
23.0,8
24.0,3
25.0,5
26.0,3
27.0,7
28.0,4
29.0,3
30.0,3
31.0,13
32.0,7
33.0,29
34.0,26
35.0,7
36.0,38
37.0,10
38.0,6
39.0,5
40.0,33
41.0,6
42.0,14
43.0,12
44.0,13
45.0,7
46.0,8
47.0,22
48.0,9
49.0,7
50.0,4
51.0,11
52.0,7
53.0,8
54.0,11
55.0,16
56.0,8
57.0,181
58.0,18
59.0,3
60.0,17
61.0,8
62.0,4
63.0,20
64.0,17
65.0,22
66.0,18
67.0,8
68.0,18
69.0,15
70.0,13
71.0,14
72.0,33
73.0,13
74.0,8
75.0,23
76.0,11
77.0,11
78.0,42
79.0,10
80.0,3
81.0,8
82.0,10
83.0,12
84.0,7
85.0,4
86.0,5
87.0,4
88.0,2
90.0,2
91.0,4
92.0,21
93.0,3
95.0,2
96.0,2
99.0,1
100.0,4
